Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,HSN Code,Secondary Name,Supplier Name,Supplier Part No,Supplier Price
FRESH CARIBBEAN YELLOW EYE SNAPPER 2-4 LB 80LB BOX,CYE2401800,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,80,80,,,,,,,,
FRESH CARIBBEAN YELLOW EYE SNAPPER 6-10 LB 30LB BOX,CYE6101300,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,30,30,,,,,,,,
FRESH CARIBBEAN YELLOW EYE SNAPPER 6-10 LB 80LB BOX,CYE6101800,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,80,80,,,,,,,,
FRESH CARIBBEAN YELLOW FIN GROUPER 10UP 80LB BOX,CYF1001800,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,80,80,,,,,,,,
FRESH CARIBBEAN YELLOW FIN GROUPER 1-5LB 80LB BOX,CYF1501800,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,80,80,,,,,,,,
FRESH CARIBBEAN YELLOW FIN GROUPER 5-10LB 80LB BOX,CYF5101800,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,80,80,,,,,,,,
FRESH CARIBBEAN YELLOW EDGE GROUPER U-1/2 LB 30LB BOX,CYG0101300,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,30,30,,,,,,,,
FRESH CARIBBEAN YELLOW EDGE GROUPER U-1/2 LB 80LB BOX,CYG0101800,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,80,80,,,,,,,,
FRESH CARIBBEAN YELLOW EDGE GROUPER 10-UP LB 30LB BOX,CYG1001300,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,30,30,,,,,,,,
FRESH CARIBBEAN YELLOW EDGE GROUPER 10-UP LB 80LB BOX,CYG1001800,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,80,80,,,,,,,,
FRESH CARIBBEAN YELLOW EDGE GROUPER 1/2-1 LB 30LB BOX,CYG1101300,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,30,30,,,,,,,,
FRESH CARIBBEAN YELLOW EDGE GROUPER 1/2-1 LB 80LB BOX,CYG1101800,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,80,80,,,,,,,,
FRESH CARIBBEAN YELLOW EDGE GROUPER 1-2 LB 30LB BOX,CYG1201300,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,30,30,,,,,,,,
FRESH CARIBBEAN YELLOW EDGE GROUPER 1-2 LB 80LB BOX,CYG1201800,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,80,80,,,,,,,,
FRESH CARIBBEAN YELLOW EDGE GROUPER 2-4 LB 30LB BOX,CYG2401300,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,30,30,,,,,,,,
FRESH CARIBBEAN YELLOW EDGE GROUPER 2-4 LB 80LB BOX,CYG2401800,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,80,80,,,,,,,,
FRESH CARIBBEAN YELLOW EDGE GROUPER 6-10 LB 30LB BOX,CYG6101300,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,30,30,,,,,,,,
FRESH CARIBBEAN YELLOW EDGE GROUPER 6-10 LB 80LB BOX,CYG6101800,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,80,80,,,,,,,,
IVP FROZEN GGS CARIBBEAN YELLOWTAIL 1/2-1 LB 10LB BOX,CYT0132100,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,10,11.36,,,,,,,,
IVP FROZEN GGS CARIBBEAN YELLLOWTAIL SNAPPER 1/2-1 LB 10LB BOX,CYT1132100,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,10,11.36,,,,,,,,
FRESH CARIBBEAN YELLOWTAIL SNAPPER 1-2 LB 30LB BOX,CYT1201300,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,30,30,,,,,,,,
FRESH CARIBBEAN YELLOWTAIL SNAPPER 1-2 LB 80LB BOX,CYT1201800,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,80,80,,,,,,,,
FRESH CARIBBEAN YELLOWTAIL SNAPPER 1.0-1.5 LB 30LB BOX,CYT1501300,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,30,30,,,,,,,,
FRESH CARIBBEAN YELLOWTAIL SNAPPER 1.0-1.5 LB 80LB BOX,CYT1501800,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,80,80,,,,,,,,
IVP FROZEN CO TREATED GGS CARIBBEAN YELLOWTAIL SNAPPER 1.0-1.5 LB 20LB BOX,CYT1506200,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,20,22.12,,,,,,,,
IVP FROZEN GGS CARIBBEAN YELLOWTAIL SNAPPER 1.0-1.5 LB 20LB BOX,CYT1532200,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,20,20,,,,,,,,
IVP FROZEN GGS CARIBBEAN YELLOWTAIL SNAPPER 2-3 LBS 20LB BOX,CYT2332200,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,20,20,,,,,,,,
FRESH CARIBBEAN YELLOWTAIL SNAPPER 2-4 LB 30LB BOX,CYT2401300,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,30,30,,,,,,,,
FRESH CARIBBEAN YELLOWTAIL SNAPPER 2-4 LB 80LB BOX,CYT2401800,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,80,80,,,,,,,,
IVP FROZEN CO TREATED GGS CARIBBEAN YELLOWTAIL SNAPPER 2-4 LB 20LB BOX,CYT2406200,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,20,22.12,,,,,,,,
IVP FROZEN WG CARIBBEAN YELLOWTAIL SNAPPER 2-4 LB 20LB BOX,CYT2412200,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,20,22.12,,,,,,,,
IVP FROZEN GGS CARIBBEAN YELLOWTAIL SNAPPER 2-4 LB 20LB BOX,CYT2432200,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,20,22.12,,,,,,,,
FRESH CARIBBEAN YELLOWTAIL SNAPPER 3/4-1 LB 30LB BOX,CYT3101300,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,30,30,,,,,,,,
FRESH CARIBBEAN YELLOWTAIL SNAPPER 3/4-1 LB 80LB BOX,CYT3101800,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,80,80,,,,,,,,
